COUNTRY,YEAR,INDCODE,DIMENSION2,VALUE,VALUE_NUM,VALUE_EXACT,VALUE_CMT,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP,SOURCE
BRB,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE,,,,,,,,,EJRF
BRB,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR,YES,,,,,,,,EJRF
BRB,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE_NEW,,,,,,,,,EJRF
BRB,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR_NEW,YES,,,,,,,,EJRF
BRB,2023,IIS_COVID19_AGGREGATE_DIGITAL,,,,,,,,,,EJRF
BRB,2023,IIS_COVID19_DEVELOP,,MERGE_C19_SYSTEM,,,,,,,,EJRF
BRB,2023,IIS_COVID19_EXPAND,,,,,,,,,,EJRF
SEN,2023,SUPPLY_COVID19_WASTAGE,,0,,,,,,,,EJRF
SEN,2023,SUPPLY_COVID19_STOCK,,680650,,,,,,,,EJRF
SEN,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE,YES,,,,,,,,EJRF
SEN,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR,NO,,,,,,,,EJRF
SEN,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE_NEW,NO,,,,,,,,EJRF
SEN,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR_NEW,NO,,,,,,,,EJRF
SEN,2023,IIS_COVID19_AGGREGATE_DIGITAL,,HEALTH_FACILITY,,,,,,,,EJRF
SEN,2023,IIS_COVID19_DEVELOP,,MERGE_C19_SYSTEM,,,,,,,,EJRF
SEN,2023,IIS_COVID19_EXPAND,,,,,,,,,,EJRF
COD,2023,SUPPLY_COVID19_WASTAGE,,0.6,,,,,,,,EJRF
COD,2023,SUPPLY_COVID19_STOCK,,6654730,,,,,,,,EJRF
COD,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE,NO,,,,,,,,EJRF
COD,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR,NO,,,,,,,,EJRF
COD,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE_NEW,YES,,,,,,,,EJRF
COD,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR_NEW,YES,,,,,,,,EJRF
KNA,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE,NO,,,,,,,,EJRF
KNA,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR,NO,,,,,,,,EJRF
KNA,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_AGGREGATE_NEW,YES,,,,,,,,EJRF
KNA,2023,IIS_COVID19_SYSTEM_MONITOR,IIS_COVID19_SYSTEM_EIR_NEW,YES,,,,,,,,EJRF
COD,2023,IIS_COVID19_AGGREGATE_DIGITAL,,HEALTH_FACILITY,,,,,,,,EJRF
KNA,2023,IIS_COVID19_AGGREGATE_DIGITAL,,HEALTH_FACILITY,,,,,,,,EJRF
COD,2023,IIS_COVID19_DEVELOP,,EXPAND_C19_SYSTEM,,,,,,,,EJRF
