COUNTRY,YEAR,INDCODE,DIMENSION2,VALUE,VALUE_NUM,VALUE_EXACT,VALUE_CMT,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP,SOURCE
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ELDERLY,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ADULTS,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ADULTS_CHRONIC,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,PW,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_HCW,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_CA,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_CA_CHRONIC,YES,,,,,,,,EJRF
BRB,2024,POLICY_VACCINATION,OTHER_GROUPS,-4444,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ELDERLY,YES,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,YES,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ADULTS,NO,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ADULTS_CHRONIC,YES,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,PW,YES,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_HCW,YES,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_CA,NO,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_CA_CHRONIC,NO,,,,,,,,EJRF
BRB,2024,POLICY_REVACCINATION,OTHER_GROUPS,-4444,,,,,,,,EJRF
BRB,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY,12_MONTHS,,,,,,,,EJRF
BRB,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,12_MONTHS,,,,,,,,EJRF
