ID_NUMBER,COUNTRY,YEAR,CONTRACTYEAR,VACCINECODE,PRESENTATION,DOSAGENUMBER,SWITCH_VACCINE,SWITCH_WHEN,MANUFACTURER,COMMERCIALNAME,PROCUR_NUMBER,PROCUR_AUTHORITY,PROCUR_MECHANISM,CONTRACTLENGTH,OTHER_REGISTERED,PRICE_PER_DOSE,CURRENCY,VAT,VATPERCENT,FINALCOMMENT,COUNTRYSOURCE,INCOTERM,FUNDINGSOURCE,GVT_FINANCED,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP,SOURCE
,BRB,2023,2023,COVID19,-4444,1.000000000,,,PFIZER,Pfizer BioNTech - Comirnaty,5040.000000000,NATIONAL_AUTHORITY,DONATION,-2222,,-2222.000000000,-2222,-4444,,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,SEN,2023,2022,COVID19,-4444,1.000000000,,,ASTRAZENACA,AstraZeneca - Vaxzevria,,OTHER,COVAX,-2222,,,,,,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,SEN,2023,2022,COVID19,-4444,1.000000000,,,BBIBP,Beijing CNBG - BBIBP-CorV,,,-4444,-2222,,,,,,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,SEN,2023,2022,COVID19,-4444,1.000000000,,,JVC,Janssen - Ad26.COV 2-S,811000.000000000,OTHER,COVAX,-2222,,7.500000000,USD,NO,-4444.000000000,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,SEN,2023,2022,COVID19,-4444,1.000000000,,,PFIZER,Pfizer BioNTech - Comirnaty,,,-4444,-2222,,,,,,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,COD,2023,2022,COVID19,-4444,5.000000000,-4444,-4444,JVC,-4444,3656650.000000000,NATIONAL_AUTHORITY,COVAX,-2222,NON,7.500000000,USD,-4444,-4444.000000000,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,COD,2023,2022,COVID19,-4444,6.000000000,-4444,-4444,PFIZER,-4444,2998080.000000000,NATIONAL_AUTHORITY,COVAX,-2222,NON,7.500000000,USD,-4444,-4444.000000000,,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,KNA,2023,2022,COVID19,-4444,1.000000000,-4444,-4444,ASTRAZENACA,AstraZeneca - Vaxzevria,0.000000000,-4444,OTHER,-4444,-4444,-4444.000000000,-4444,-4444,-4444.000000000,-4444,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,KNA,2023,2022,COVID19,-4444,1.000000000,-4444,-4444,PFIZER,Pfizer BioNTech - Comirnaty,0.000000000,-4444,DONATION,-4444,,-4444.000000000,-4444,-4444,-4444.000000000,-4444,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
,KNA,2023,2022,COVID19,-4444,1.000000000,-4444,-4444,SII,SII - Covishield,0.000000000,-4444,COVAX,-2222,-4444,-4444.000000000,-4444,-4444,-4444.000000000,-4444,NOT_COLLECTED,NOT_COLLECTED,-9999,-9999.000000000,,,,,EJRF
