COUNTRY,YEAR,VACCINECODE,INTERVENTION,SCHEDULEROUNDS,TARGETPOP,GEOAREA,AGEADMINISTERED,SUBNATIONAL_TARGET,SOURCECOMMENT,COMMENTORIGINAL,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP
BRB,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
BRB,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
BRB,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
BRB,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
BRB,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
KNA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,Older adults with chronic conditions,,,,,
KNA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
KNA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
MLT,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
MLT,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic condition, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
MLT,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
MLT,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
MLT,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
MCO,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
MCO,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
MCO,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
PLW,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
NIC,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
NIC,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
NIC,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
NIC,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
SMR,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,Older adults with chronic conditions,,,,,
UKR,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
UKR,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
UKR,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
