COUNTRY,YEAR,REPORTING_PERIOD,SOURCE,VACCINE_TYPE,GENDER,AGEGROUP,CUSTOM_AGEGROUP,AGEGROUP_CUSTOM_CLEAN,TOTAL_POP,TARGET_POP,TARGET_GROUP,NUMBER_TARGET,N_VACC_DOSE1,N_VACC_LAST_DOSE,N_VACC_BOOSTER_DOSE,N_VACC_BOOSTER_DOSE_2,N_VACC_UNKNOWN,N_VACC_TOTAL_DOSES,COMMENTS,WEBINCLUDED
SYC,2021,4,,,MALE,,,,,,,,,,,,,,Data available but has not been analysed yet,
SYC,2021,4,,ASZ-AZD1222-1,,,,,,,,,28656,9123,,,,,uptake up to 29.3.21  campain still ongoing for second dose,
SYC,2021,4,,ALL,,,,,98963,70000,,,63686,36866,,,,,,
SYC,2021,4,,,,18_24_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
SYC,2021,4,,,,,,,,,CO_MORBIDITY,,,,,,,,Data available but has not been analysed yet,
SYC,2021,4,,BIB-INAC-SARS2-1,,,,,,,,,35030,27743,,,,,uptake up to 29.3.21  campain still ongoing for second dose ,
SYC,2021,4,,,,LT_18_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
SYC,2021,4,,,,,,,,,HW,,,,,,,,Data available but has not been analysed yet,
SYC,2021,4,,,,50_59_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
SYC,2021,4,,,,,,,,,RES_LONG_TERM,,,,,,,,Data available but has not been analysed yet,
SYC,2021,4,,,,60_69_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
SYC,2021,4,,,,GTEQ_80_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
SYC,2021,4,,,,70_79_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
SYC,2021,4,,,FEMALE,,,,,,,,,,,,,,data available but has not been analysed ,
SYC,2021,4,,,,25_49_YEARS,,,,,,,,,,,,,Data available but has not been analysed yet,True
FIN,2021,3,,,,60_69_YEARS,,,,,,,,,,,,,,True
BEL,2021,3,,,,50_59_YEARS,,,,,,,,,,,,,,True
DNK,2021,3,,,,18_24_YEARS,,,,,,,,,,,,,,True
ITA,2021,3,,,,70_79_YEARS,,,,,,,,,,,,,,True
FIN,2021,3,,,,LT_18_YEARS,,,,,,,,,,,,,,True
FIN,2021,3,,ALL,,,,,,,,,,,,,,,,
NOR,2021,3,,,MALE,,,,,,,2213680,171292,94619,,,,,,
ESP,2021,3,,,,60_69_YEARS,,,,,,,,,,,,,,True
DNK,2021,3,,,,25_49_YEARS,,,,,,,,,,,,,,True
FIN,2021,3,,,,25_49_YEARS,,,,,,,,,,,,,,True
SVN,2021,3,,ALL,,,,,,,,,,,,,,,,
ITA,2021,3,,,MALE,,,,,,,,,,,,,,,
LTU,2021,3,,,,GTEQ_80_YEARS,,,,,,166295,38124,4780,,,,,,True
SVN,2021,3,,,,50_59_YEARS,,,,,,,,,,,,,,True
NOR,2021,3,,,,LT_18_YEARS,-2222,,,,,1111690,-2222,-2222,,,,,-2222,True
BEL,2021,3,,,,70_79_YEARS,,,,,,,,,,,,,,True
LTU,2021,3,,ASZ-AZD1222-1,,,,,,,,,31122,,,,,,,
TKM,2021,3,,,,LT_18_YEARS,,,,,,,,,,,,,,True
AUT,2021,3,,,,70_79_YEARS,,,,,,769199,29832,19057,,,,,,True
DNK,2021,3,,,,,,,,,HW,,,,,,,,,
BEL,2021,3,,,,,,,,,HW,,,,,,,,,
TKM,2021,3,,,,18_24_YEARS,,,,,,,932,507,,,,,,True
TKM,2021,3,,ALL,,,,,,,,,32240,9753,,,,,,
TKM,2021,3,,,,,,,,,HW,,13107,7422,,,,,,
LTU,2021,3,,,,,,,,,HW,-4444,-4444,-4444,,,,,,
AUT,2021,3,,,,18_24_YEARS,,,,,,696064,23523,9234,,,,,,True
ESP,2021,3,,,,50_59_YEARS,,,,,,,,,,,,,,True
BEL,2021,3,,,,GTEQ_80_YEARS,,,,,,,,,,,,,,True
AUT,2021,3,,ASZ-AZD1222-1,,,,,,,,,97119,6,,,,,,
AUT,2021,3,,PFI-COMIRNATY-1,,,,,,,,,325979,235140,,,,,,
AUT,2021,3,,,,25_49_YEARS,,,,,,3006228,142353,77552,,,,,,True
AUT,2021,3,,,,LT_18_YEARS,,,,,,1542621,655,312,,,,,,True
DNK,2021,3,,,FEMALE,,,,,,,,,,,,,,,
AUT,2021,3,,,,,,,,,RES_LONG_TERM,-2222,-2222,-2222,,,,,,
LTU,2021,3,,PFI-COMIRNATY-1,,,,,,,,,124495,71076,,,,,,
ITA,2021,3,,,,50_59_YEARS,,,,,,,,,,,,,,True
TKM,2021,3,,ASZ-AZD1222-1,,,,,,,,,450,449,,,,,,
DNK,2021,3,,,,LT_18_YEARS,,,,,,,,,,,,,,True
ITA,2021,3,,,,,,,,,HW,,,,,,,,,
AUT,2021,3,,,MALE,,,,,,,3674425,157758,80818,,,,,our data contain 57 entries of unknown gender,
SVN,2021,3,,,,25_49_YEARS,,,,,,,,,,,,,,True
AUT,2021,3,,MOC-MRNA-1273-1,,,,,,,,,17589,3864,,,,,,
TKM,2021,3,,,,60_69_YEARS,,,,,,,2073,893,,,,,,True
TKM,2021,3,,,,,,,,,CO_MORBIDITY,,,,,,,,,
ESP,2021,3,,,,70_79_YEARS,,,,,,,,,,,,,,True
ESP,2021,3,,,,,,,,,RES_LONG_TERM,,,,,,,,,
ITA,2021,3,,,,18_24_YEARS,,,,,,,,,,,,,,True
TKM,2021,3,,BIB-INAC-SARS2-1,,,,,,,,,22440,3995,,,,,,
LTU,2021,3,,,,,,,,,CO_MORBIDITY,-4444,-4444,-4444,,,,,,
NOR,2021,3,,ALL,,,,,4406522,4406522,,,505688,262780,,,,,,
LTU,2021,3,,ALL,,,,,2795175,238957,,,165634,73323,,,,,,
BEL,2021,3,,ALL,,,,,,,,,,,,,,,,
AUT,2021,3,,,,60_69_YEARS,,,,,,1016016,35267,21174,,,,,,True
AUT,2021,3,,ALL,,,,,8901064,7531239,,,440687,239010,,,,,,
BEL,2021,3,,,,LT_18_YEARS,,,,,,,,,,,,,,True
ITA,2021,3,,,,LT_18_YEARS,,,,,,,,,,,,,,True
