COUNTRY_FK,WHO_REGION,YEAR,GENDER_FK,AGEGROUP_FK,VALUE
ABW,AMRO,2024,BOTH,GTEQ_50_YEARS,42984.000000000
ABW,AMRO,2024,BOTH,GTEQ_55_YEARS,35245.000000000
ABW,AMRO,2024,BOTH,GTEQ_60_YEARS,26830.000000000
ABW,AMRO,2024,BOTH,GTEQ_65_YEARS,18439.000000000
ABW,AMRO,2024,BOTH,GTEQ_75_YEARS,5886.000000000
AFG,EMRO,2024,BOTH,GTEQ_50_YEARS,3615877.000000000
AFG,EMRO,2024,BOTH,GTEQ_55_YEARS,2494529.000000000
AFG,EMRO,2024,BOTH,GTEQ_60_YEARS,1644984.000000000
AFG,EMRO,2024,BOTH,GTEQ_65_YEARS,1023963.000000000
AFG,EMRO,2024,BOTH,GTEQ_75_YEARS,292446.000000000
AGO,AFRO,2024,BOTH,GTEQ_50_YEARS,3711984.000000000
AGO,AFRO,2024,BOTH,GTEQ_55_YEARS,2636273.000000000
AGO,AFRO,2024,BOTH,GTEQ_60_YEARS,1761064.000000000
AGO,AFRO,2024,BOTH,GTEQ_65_YEARS,1080673.000000000
AGO,AFRO,2024,BOTH,GTEQ_75_YEARS,303851.000000000
AIA,AMRO,2024,BOTH,GTEQ_50_YEARS,4938.000000000
AIA,AMRO,2024,BOTH,GTEQ_55_YEARS,3794.000000000
AIA,AMRO,2024,BOTH,GTEQ_60_YEARS,2705.000000000
AIA,AMRO,2024,BOTH,GTEQ_65_YEARS,1836.000000000
AIA,AMRO,2024,BOTH,GTEQ_75_YEARS,677.000000000
ALB,EURO,2024,BOTH,GTEQ_50_YEARS,998368.000000000
ALB,EURO,2024,BOTH,GTEQ_55_YEARS,833413.000000000
ALB,EURO,2024,BOTH,GTEQ_60_YEARS,656988.000000000
ALB,EURO,2024,BOTH,GTEQ_65_YEARS,472453.000000000
ALB,EURO,2024,BOTH,GTEQ_75_YEARS,187607.000000000
AND,EURO,2024,BOTH,GTEQ_50_YEARS,33031.000000000
AND,EURO,2024,BOTH,GTEQ_55_YEARS,25780.000000000
AND,EURO,2024,BOTH,GTEQ_60_YEARS,18981.000000000
AND,EURO,2024,BOTH,GTEQ_65_YEARS,13074.000000000
AND,EURO,2024,BOTH,GTEQ_75_YEARS,5555.000000000
ARE,EMRO,2024,BOTH,GTEQ_50_YEARS,1331929.000000000
ARE,EMRO,2024,BOTH,GTEQ_55_YEARS,797215.000000000
ARE,EMRO,2024,BOTH,GTEQ_60_YEARS,413501.000000000
ARE,EMRO,2024,BOTH,GTEQ_65_YEARS,194854.000000000
ARE,EMRO,2024,BOTH,GTEQ_75_YEARS,49262.000000000
ARG,AMRO,2024,BOTH,GTEQ_50_YEARS,12419551.000000000
ARG,AMRO,2024,BOTH,GTEQ_55_YEARS,9883990.000000000
ARG,AMRO,2024,BOTH,GTEQ_60_YEARS,7698499.000000000
ARG,AMRO,2024,BOTH,GTEQ_65_YEARS,5673647.000000000
ARG,AMRO,2024,BOTH,GTEQ_75_YEARS,2436663.000000000
ARM,EURO,2024,BOTH,GTEQ_50_YEARS,939995.000000000
ARM,EURO,2024,BOTH,GTEQ_55_YEARS,777128.000000000
ARM,EURO,2024,BOTH,GTEQ_60_YEARS,607443.000000000
ARM,EURO,2024,BOTH,GTEQ_65_YEARS,407507.000000000
ARM,EURO,2024,BOTH,GTEQ_75_YEARS,127833.000000000
ASM,WPRO,2024,BOTH,GTEQ_50_YEARS,11769.000000000
ASM,WPRO,2024,BOTH,GTEQ_55_YEARS,8836.000000000
ASM,WPRO,2024,BOTH,GTEQ_60_YEARS,6029.000000000
ASM,WPRO,2024,BOTH,GTEQ_65_YEARS,3771.000000000
ASM,WPRO,2024,BOTH,GTEQ_75_YEARS,1107.000000000
ATG,AMRO,2024,BOTH,GTEQ_50_YEARS,29647.000000000
ATG,AMRO,2024,BOTH,GTEQ_55_YEARS,23123.000000000
ATG,AMRO,2024,BOTH,GTEQ_60_YEARS,16584.000000000
ATG,AMRO,2024,BOTH,GTEQ_65_YEARS,11058.000000000
ATG,AMRO,2024,BOTH,GTEQ_75_YEARS,3834.000000000
AUS,WPRO,2024,BOTH,GTEQ_50_YEARS,9507219.000000000
AUS,WPRO,2024,BOTH,GTEQ_55_YEARS,7812131.000000000
AUS,WPRO,2024,BOTH,GTEQ_60_YEARS,6266693.000000000
AUS,WPRO,2024,BOTH,GTEQ_65_YEARS,4736267.000000000
AUS,WPRO,2024,BOTH,GTEQ_75_YEARS,2184064.000000000
AUT,EURO,2024,BOTH,GTEQ_50_YEARS,3907179.000000000
AUT,EURO,2024,BOTH,GTEQ_55_YEARS,3265536.000000000
AUT,EURO,2024,BOTH,GTEQ_60_YEARS,2549121.000000000
AUT,EURO,2024,BOTH,GTEQ_65_YEARS,1879479.000000000
AUT,EURO,2024,BOTH,GTEQ_75_YEARS,920295.000000000
AZE,EURO,2024,BOTH,GTEQ_50_YEARS,2668253.000000000
AZE,EURO,2024,BOTH,GTEQ_55_YEARS,2076012.000000000
AZE,EURO,2024,BOTH,GTEQ_60_YEARS,1469441.000000000
AZE,EURO,2024,BOTH,GTEQ_65_YEARS,884381.000000000
AZE,EURO,2024,BOTH,GTEQ_75_YEARS,226367.000000000
BDI,AFRO,2024,BOTH,GTEQ_50_YEARS,1131827.000000000
BDI,AFRO,2024,BOTH,GTEQ_55_YEARS,789971.000000000
BDI,AFRO,2024,BOTH,GTEQ_60_YEARS,543129.000000000
BDI,AFRO,2024,BOTH,GTEQ_65_YEARS,355670.000000000
BDI,AFRO,2024,BOTH,GTEQ_75_YEARS,96112.000000000
BEL,EURO,2024,BOTH,GTEQ_50_YEARS,4767966.000000000
BEL,EURO,2024,BOTH,GTEQ_55_YEARS,3989254.000000000
BEL,EURO,2024,BOTH,GTEQ_60_YEARS,3194561.000000000
BEL,EURO,2024,BOTH,GTEQ_65_YEARS,2413274.000000000
BEL,EURO,2024,BOTH,GTEQ_75_YEARS,1147283.000000000
BEN,AFRO,2024,BOTH,GTEQ_50_YEARS,1506610.000000000
BEN,AFRO,2024,BOTH,GTEQ_55_YEARS,1070522.000000000
BEN,AFRO,2024,BOTH,GTEQ_60_YEARS,719772.000000000
BEN,AFRO,2024,BOTH,GTEQ_65_YEARS,450979.000000000
BEN,AFRO,2024,BOTH,GTEQ_75_YEARS,136161.000000000
BES,AMRO,2024,BOTH,GTEQ_50_YEARS,11128.000000000
BES,AMRO,2024,BOTH,GTEQ_55_YEARS,8991.000000000
BES,AMRO,2024,BOTH,GTEQ_60_YEARS,6659.000000000
BES,AMRO,2024,BOTH,GTEQ_65_YEARS,4424.000000000
BES,AMRO,2024,BOTH,GTEQ_75_YEARS,1582.000000000
BFA,AFRO,2024,BOTH,GTEQ_50_YEARS,2171449.000000000
BFA,AFRO,2024,BOTH,GTEQ_55_YEARS,1522290.000000000
BFA,AFRO,2024,BOTH,GTEQ_60_YEARS,1014042.000000000
BFA,AFRO,2024,BOTH,GTEQ_65_YEARS,624469.000000000
BFA,AFRO,2024,BOTH,GTEQ_75_YEARS,168910.000000000
BGD,SEARO,2024,BOTH,GTEQ_50_YEARS,30536554.000000000
BGD,SEARO,2024,BOTH,GTEQ_55_YEARS,22896455.000000000
BGD,SEARO,2024,BOTH,GTEQ_60_YEARS,16510594.000000000
BGD,SEARO,2024,BOTH,GTEQ_65_YEARS,11278894.000000000
