iso_code,date,country_name,total_doses,at_least_one_dose,fully_vaccinated,persons_booster_add_dose,date_accessed,date_week,is_latest_week_reported,manual_adjustment,is_data_error,to_remove,to_remove_1st,to_remove_2nd
ABW,2021-02-19,Aruba,12.0,12.0,0.0,0.0,2022-08-19,2021-02-19,0,0,0.0,0.0,0.0,0.0
ABW,2021-02-26,Aruba,2896.0,2896.0,0.0,0.0,2022-08-19,2021-02-26,0,0,0.0,0.0,0.0,0.0
ABW,2021-03-05,Aruba,8882.0,8882.0,0.0,0.0,2022-08-19,2021-03-05,0,0,0.0,0.0,0.0,0.0
ABW,2021-03-12,Aruba,10679.0,10679.0,0.0,0.0,2022-08-19,2021-03-12,0,0,0.0,0.0,0.0,0.0
ABW,2021-03-19,Aruba,14628.0,11772.0,2856.0,0.0,2022-08-19,2021-03-19,0,0,0.0,0.0,0.0,0.0
ABW,2021-03-26,Aruba,21602.0,12835.0,8767.0,0.0,2022-08-19,2021-03-26,0,0,0.0,0.0,0.0,0.0
ABW,2021-04-01,Aruba,27904.0,17554.0,10350.0,0.0,2022-08-19,2021-04-02,0,0,0.0,0.0,0.0,0.0
ABW,2021-04-09,Aruba,35430.0,24102.0,11328.0,0.0,2022-08-19,2021-04-09,0,0,0.0,0.0,0.0,0.0
ABW,2021-04-16,Aruba,48254.0,36112.0,12142.0,0.0,2022-08-19,2021-04-16,0,0,0.0,0.0,0.0,0.0
ABW,2021-04-23,Aruba,62343.0,44421.0,17922.0,0.0,2022-08-19,2021-04-23,0,0,0.0,0.0,0.0,0.0
ABW,2021-04-30,Aruba,74747.0,53837.0,20910.0,0.0,2022-08-19,2021-04-30,0,0,0.0,0.0,0.0,0.0
ABW,2021-05-07,Aruba,78930.0,55143.0,23787.0,0.0,2022-08-19,2021-05-07,0,0,0.0,0.0,0.0,0.0
ABW,2021-05-14,Aruba,84428.0,56632.0,27796.0,0.0,2022-08-19,2021-05-14,0,0,0.0,0.0,0.0,0.0
