entity,date,total_doses,at_least_one_dose,fully_vaccinated,persons_booster_add_dose,source,country_name
ANGOLA,2022-07-03,20701915.0,13274748.0,7756970.0,808939.0,,Angola
BURUNDI,2022-05-29,15595.0,13754.0,13177.0,,,Burundi
BENIN,2022-05-29,3621913.0,3162977.0,2630438.0,,,Benin
BURKINA FASO,2022-05-29,2938917.0,2441101.0,1546432.0,,,Burkina Faso
BOTSWANA,2022-05-29,2330589.0,1693991.0,1507508.0,366735.0,,Botswana
CENTRAL AFRICAN REPUBLIC,2022-05-29,1185512.0,1100920.0,1044536.0,,,Central African Republic
CÔTE D’IVOIRE,2022-05-29,12753769.0,8026397.0,5540193.0,87290.0,,Côte D’Ivoire
CAMEROON,2022-05-29,1836998.0,1558358.0,1215146.0,52011.0,,Cameroon
DEMOCRATIC REPUBLIC OF THE CONGO,2022-05-29,2671606.0,2136131.0,1429658.0,,,Democratic Republic Of The Congo
CONGO,2022-05-29,831318.0,693902.0,652422.0,,,Congo
COMOROS,2022-05-29,642320.0,341302.0,301218.0,,,Comoros
CABO VERDE,2022-05-29,762486.0,355232.0,307398.0,142.0,,Cabo Verde
ALGERIA,2022-05-29,15205854.0,7840131.0,6481186.0,514063.0,,Algeria
ETHIOPIA,2022-05-29,29419678.0,24770491.0,21292024.0,346411.0,,Ethiopia
GABON,2022-05-29,558456.0,308235.0,255914.0,2249.0,,Gabon
GHANA,2022-05-29,16203630.0,9786631.0,6410470.0,570557.0,,Ghana
GUINEA,2022-05-29,6127699.0,4477740.0,2511039.0,,,Guinea
GAMBIA,2022-05-29,720000.0,449464.0,354340.0,9007.0,,Gambia
GUINEA-BISSAU,2022-05-29,562717.0,529346.0,341781.0,81.0,,Guinea-Bissau
EQUATORIAL GUINEA,2022-05-29,479991.0,265505.0,206762.0,3044.0,,Equatorial Guinea
KENYA,2022-05-29,18335254.0,12562514.0,9205258.0,327109.0,,Kenya
LIBERIA,2022-05-29,1996703.0,1751520.0,1438154.0,1912.0,,Liberia
LESOTHO,2022-05-29,948906.0,1014456.0,739962.0,,,Lesotho
MADAGASCAR,2022-05-29,2369775.0,1290584.0,1199011.0,43528.0,,Madagascar
MALI,2022-05-29,2199134.0,1599332.0,1179291.0,,,Mali
MOZAMBIQUE,2022-05-29,31616078.0,14978771.0,14098645.0,353032.0,,Mozambique
MAURITANIA,2022-05-29,2838929.0,1919714.0,1328653.0,213042.0,,Mauritania
MAURITIUS,2022-05-29,2548623.0,976846.0,944294.0,620077.0,,Mauritius
MALAWI,2022-05-29,2166402.0,1596607.0,1139589.0,740.0,,Malawi
