entity,date,total_doses,at_least_one_dose,fully_vaccinated,persons_booster_add_dose,source,country_name
CZECHIA,2021-02-16,525785,325273.0,200512.0,,Reported to WHO,Czechia
ICELAND,2021-02-09,19850,14093.0,5757.0,,Reported to WHO,Iceland
GREECE,2021-02-16,634238,430180.0,204058.0,,Reported to WHO,Greece
MONTENEGRO,2021-02-26,1288,1288.0,,,Other sources,Montenegro
HUNGARY,2021-02-16,658114,453896.0,204217.0,,Reported to WHO,Hungary
SLOVENIA,2021-02-09,118581,70888.0,47693.0,,Reported to WHO,Slovenia
KAZAKHSTAN,2021-02-24,22294,20157.0,,,Other sources,Kazakhstan
CYPRUS,2021-02-16,57888,38667.0,19221.0,,Reported to WHO,Cyprus
NORWAY,2021-02-09,296060,226938.0,69122.0,,Reported to WHO,Norway
FRANCE,2021-02-16,3329201,2409831.0,919370.0,,Reported to WHO,France
IRELAND,2021-02-16,332384,201718.0,130663.0,,Reported to WHO,Ireland
SERBIA,2021-02-28,1436682,924683.0,,,Other sources,Serbia
NETHERLANDS,2021-02-16,915621,723830.0,191791.0,,Reported to WHO,Netherlands
POLAND,2021-02-23,3346626,2159194.0,1187432.0,,Reported to WHO,Poland
SAN MARINO,2021-02-27,35,35.0,,,Other sources,San Marino
LITHUANIA,2021-02-16,176338,114253.0,62085.0,,Reported to WHO,Lithuania
MONACO,2021-01-18,2400,,,,Other sources,Monaco
UKRAINE,2021-02-27,3141,,,,Other sources,Ukraine
DENMARK,2021-02-16,500314,323611.0,176703.0,,Reported to WHO,Denmark
SWITZERLAND,2021-02-24,748791,527979.0,,,Other sources,Switzerland
FINLAND,2021-02-16,355740,282524.0,73216.0,,Reported to WHO,Finland
GERMANY,2021-02-16,4719899,3085113.0,1634786.0,,Reported to WHO,Germany
ANDORRA,2021-02-24,2390,2390.0,,,Other sources,Andorra
ISRAEL,2021-02-09,6404099,3893638.0,2510461.0,,Reported to WHO,Israel
LUXEMBOURG,2021-02-16,28932,21853.0,7079.0,,Reported to WHO,Luxembourg
CROATIA,2021-02-23,151335,102635.0,47872.0,,Reported to WHO,Croatia
MALTA,2021-02-09,46540,34487.0,12053.0,,Reported to WHO,Malta
BULGARIA,2021-02-16,119354,92381.0,26973.0,,Reported to WHO,Bulgaria
BELARUS,2021-02-16,37011,24704.0,12307.0,,Reported to WHO,Belarus
ALBANIA,2021-01-26,671,671.0,0.0,,Reported to WHO,Albania
THE UNITED KINGDOM,2021-02-27,20885683,20089551.0,,,Other sources,The United Kingdom
SPAIN,2021-02-16,2878557,1717373.0,1161184.0,,Reported to WHO,Spain
ITALY,2021-02-16,3330573,2090824.0,1237385.0,,Reported to WHO,Italy
RUSSIAN FEDERATION,2021-02-10,3900000,2200000.0,,,Other sources,Russian Federation
PORTUGAL,2021-02-16,618567,388604.0,229917.0,,Reported to WHO,Portugal
AZERBAIJAN,2021-02-06,65000,65000.0,,,Other sources,Azerbaijan
SWEDEN,2021-02-16,585423,397795.0,187628.0,,Reported to WHO,Sweden
TURKEY,2021-02-28,8547875,6869923.0,,,Other sources,Turkey
BELGIUM,2021-02-16,630610,385190.0,245420.0,,Reported to WHO,Belgium
AUSTRIA,2021-02-16,504499,308351.0,196148.0,,Reported to WHO,Austria
ROMANIA,2021-02-09,857295,656827.0,200468.0,,Reported to WHO,Romania
ESTONIA,2021-02-16,88771,36029.0,26371.0,,Reported to WHO,Estonia
SLOVAKIA,2021-02-16,344450,255972.0,88478.0,,Reported to WHO,Slovakia
LATVIA,2021-02-16,43111,26401.0,16710.0,,Reported to WHO,Latvia
SWITZERLAND,2021-02-28,805202,546228.0,,,Other sources,Switzerland
GERMANY,2021-02-23,5730949,3759906.0,1971043.0,,Reported to WHO,Germany
GREECE,2021-02-23,825798,539607.0,286191.0,,Reported to WHO,Greece
CZECHIA,2021-02-23,624244,391409.0,232835.0,,Reported to WHO,Czechia
ESTONIA,2021-02-23,103498,41194.0,31152.0,,Reported to WHO,Estonia
RUSSIAN FEDERATION,2021-03-02,5249831,4158334.0,,,Other sources,Russian Federation
LUXEMBOURG,2021-02-23,36069,26089.0,9980.0,,Reported to WHO,Luxembourg
SLOVENIA,2021-02-16,144137,94182.0,49955.0,,Reported to WHO,Slovenia
ROMANIA,2021-02-23,1274421,886783.0,387638.0,,Reported to WHO,Romania
IRELAND,2021-02-23,332384,201718.0,130663.0,,Reported to WHO,Ireland
LITHUANIA,2021-02-23,201201,135281.0,65920.0,,Reported to WHO,Lithuania
SERBIA,2021-03-02,1501917,971054.0,,,Other sources,Serbia
NETHERLANDS,2021-02-23,1232290,978918.0,253372.0,,Reported to WHO,Netherlands
LATVIA,2021-02-23,60731,43742.0,16989.0,,Reported to WHO,Latvia
SLOVAKIA,2021-02-23,445573,300190.0,145383.0,,Reported to WHO,Slovakia
MALTA,2021-02-16,61724,43654.0,18070.0,,Reported to WHO,Malta
NORTH MACEDONIA,2021-02-16,940,940.0,0.0,,Reported to WHO,North Macedonia
BULGARIA,2021-02-23,212444,175062.0,37382.0,,Reported to WHO,Bulgaria
AUSTRIA,2021-02-23,653382,424602.0,228780.0,,Reported to WHO,Austria
ICELAND,2021-02-16,27349,17094.0,10255.0,,Reported to WHO,Iceland
FRANCE,2021-02-23,4111791,2712800.0,1398984.0,,Reported to WHO,France
PORTUGAL,2021-02-23,796876,538533.0,258287.0,,Reported to WHO,Portugal
FINLAND,2021-02-23,426525,346859.0,79666.0,,Reported to WHO,Finland
BELGIUM,2021-02-23,757013,460939.0,296074.0,,Reported to WHO,Belgium
NORWAY,2021-02-16,379752,282853.0,96899.0,,Reported to WHO,Norway
SPAIN,2021-02-23,3249313,2167017.0,1082296.0,,Reported to WHO,Spain
THE UNITED KINGDOM,2021-03-01,21322717,20478619.0,,,Other sources,The United Kingdom
ANDORRA,2021-02-26,2526,2526.0,,,Other sources,Andorra
DENMARK,2021-02-23,592452,408949.0,183503.0,,Reported to WHO,Denmark
CROATIA,2021-03-02,210657,158297.0,51520.0,,Reported to WHO,Croatia
CYPRUS,2021-02-23,77794,54914.0,22880.0,,Reported to WHO,Cyprus
MONTENEGRO,2021-03-01,1531,1531.0,,,Other sources,Montenegro
AZERBAIJAN,2021-02-16,101204,79645.0,21559.0,,Reported to WHO,Azerbaijan
UKRAINE,2021-03-02,6888,6888.0,,,Other sources,Ukraine
SAN MARINO,2021-03-01,275,275.0,,,Other sources,San Marino
SWEDEN,2021-02-23,720089,473656.0,246433.0,,Reported to WHO,Sweden
TURKEY,2021-03-02,9073640,7123722.0,,,Other sources,Turkey
RUSSIAN FEDERATION,2021-03-09,6694349,5149589.0,,,Other sources,Russian Federation
ESTONIA,2021-03-02,146083,102117.0,43966.0,,Reported to WHO,Estonia
BELGIUM,2021-03-09,1087408,721702.0,365706.0,,Reported to WHO,Belgium
SLOVAKIA,2021-03-09,597924,389584.0,208340.0,,Reported to WHO,Slovakia
ISRAEL,2021-03-02,8731727,4943207.0,3788520.0,,Reported to WHO,Israel
ROMANIA,2021-03-02,1832198,1179356.0,652842.0,,Reported to WHO,Romania
PORTUGAL,2021-03-02,1032968,739662.0,293245.0,,Reported to WHO,Portugal
ITALY,2021-03-02,5407294,3756127.0,1650744.0,,Reported to WHO,Italy
GERMANY,2021-03-02,7681678,5185974.0,2495704.0,,Reported to WHO,Germany
LATVIA,2021-03-02,82115,64128.0,17987.0,,Reported to WHO,Latvia
SWEDEN,2021-03-02,985681,669445.0,316236.0,,Reported to WHO,Sweden
NORTH MACEDONIA,2021-03-02,3536,3536.0,0.0,,Reported to WHO,North Macedonia
HUNGARY,2021-03-02,1316935,1001087.0,315848.0,,Reported to WHO,Hungary
AZERBAIJAN,2021-03-02,143115,132276.0,10839.0,,Reported to WHO,Azerbaijan
BELARUS,2021-03-02,46645,27804.0,18841.0,,Reported to WHO,Belarus
SAN MARINO,2021-03-02,2251,2251.0,0.0,,Reported to WHO,San Marino
DENMARK,2021-03-02,742695,537074.0,205621.0,,Reported to WHO,Denmark
LUXEMBOURG,2021-03-09,54865,39558.0,15307.0,,Reported to WHO,Luxembourg
CYPRUS,2021-03-02,98427,69686.0,28741.0,,Reported to WHO,Cyprus
NETHERLANDS,2021-03-02,1619839,1207904.0,411935.0,,Reported to WHO,Netherlands
SWITZERLAND,2021-03-07,948678,616913.0,,,Other sources,Switzerland
TURKEY,2021-03-09,10222994,7676519.0,,,Other sources,Turkey
ICELAND,2021-03-02,41989,29281.0,12708.0,,Reported to WHO,Iceland
IRELAND,2021-03-09,612783,448843.0,163940.0,,Reported to WHO,Ireland
SPAIN,2021-03-02,4742602,3352331.0,1390271.0,,Reported to WHO,Spain
SLOVENIA,2021-03-02,207287,144479.0,62808.0,,Reported to WHO,Slovenia
MALTA,2021-03-09,114346,79138.0,35208.0,,Reported to WHO,Malta
CZECHIA,2021-03-02,834427,570716.0,263711.0,,Reported to WHO,Czechia
CROATIA,2021-03-09,264703,208210.0,55605.0,,Reported to WHO,Croatia
LITHUANIA,2021-03-02,292261,208119.0,84142.0,,Reported to WHO,Lithuania
BULGARIA,2021-03-09,338880,280460.0,58420.0,,Reported to WHO,Bulgaria
GREECE,2021-03-02,1089250,723252.0,365998.0,,Reported to WHO,Greece
THE UNITED KINGDOM,2021-03-08,23773959,22592528.0,,,Other sources,The United Kingdom
NORWAY,2021-03-02,584212,379013.0,205199.0,,Reported to WHO,Norway
SERBIA,2021-03-09,1750533,1124826.0,,,Other sources,Serbia
AUSTRIA,2021-03-09,1053635,778741.0,274894.0,,Reported to WHO,Austria
POLAND,2021-03-09,4508646,2906144.0,1602501.0,,Reported to WHO,Poland
FINLAND,2021-03-09,650937,565173.0,85764.0,,Reported to WHO,Finland
UKRAINE,2021-02-23,29584,29584.0,0.0,,Reported to WHO,Ukraine
MONTENEGRO,2021-03-02,2629,2629.0,0.0,,Reported to WHO,Montenegro
REPUBLIC OF MOLDOVA,2021-03-02,5390,5390.0,0.0,,Reported to WHO,Republic Of Moldova
FRANCE,2021-03-02,5807779,3881967.0,1925812.0,,Reported to WHO,France
KAZAKHSTAN,2021-03-15,87902,69095.0,,,Other sources,Kazakhstan
ANDORRA,2021-03-10,4914,3650.0,,,Other sources,Andorra
PORTUGAL,2021-03-09,1113673,793009.0,320602.0,,Reported to WHO,Portugal
AZERBAIJAN,2021-03-09,63732,42720.0,21012.0,,Reported to WHO,Azerbaijan
CZECHIA,2021-03-09,1012655,721903.0,290752.0,,Reported to WHO,Czechia
SWEDEN,2021-03-09,1093127,758315.0,334812.0,,Reported to WHO,Sweden
SERBIA,2021-03-15,2040313,1249044.0,,,Other sources,Serbia
ICELAND,2021-03-09,47130,34247.0,12883.0,,Reported to WHO,Iceland
HUNGARY,2021-03-09,1586105,1229296.0,356809.0,,Reported to WHO,Hungary
SAN MARINO,2021-03-09,4832,4832.0,0.0,,Reported to WHO,San Marino
GERMANY,2021-03-09,8553350,5889790.0,2663560.0,,Reported to WHO,Germany
NETHERLANDS,2021-03-09,1784484,1325134.0,459350.0,,Reported to WHO,Netherlands
DENMARK,2021-03-09,808702,574205.0,234497.0,,Reported to WHO,Denmark
THE UNITED KINGDOM,2021-03-14,26063501,24453221.0,,,Other sources,The United Kingdom
SWITZERLAND,2021-03-10,1035004,666550.0,,,Other sources,Switzerland
LATVIA,2021-03-09,96755,78656.0,18099.0,,Reported to WHO,Latvia
TURKEY,2021-03-15,11261612,7911946.0,,,Other sources,Turkey
ITALY,2021-03-09,6634450,4639927.0,1994102.0,,Reported to WHO,Italy
SPAIN,2021-03-09,5181446,3674484.0,1506962.0,,Reported to WHO,Spain
RUSSIAN FEDERATION,2021-03-14,7698889,5545133.0,,,Other sources,Russian Federation
ESTONIA,2021-03-09,172725,122043.0,50682.0,,Reported to WHO,Estonia
GREECE,2021-03-09,1218668,828873.0,389795.0,,Reported to WHO,Greece
CROATIA,2021-03-16,319365,254085.0,64157.0,,Reported to WHO,Croatia
LITHUANIA,2021-03-09,328510,238842.0,89668.0,,Reported to WHO,Lithuania
UKRAINE,2021-03-15,62083,62083.0,,,Other sources,Ukraine
FRANCE,2021-03-09,6427037,4337343.0,2089694.0,,Reported to WHO,France
CYPRUS,2021-03-09,115482,83515.0,31967.0,,Reported to WHO,Cyprus
MONTENEGRO,2021-03-16,8669,8074.0,595.0,,Reported to WHO,Montenegro
ROMANIA,2021-03-16,2526589,1751055.0,775534.0,,Reported to WHO,Romania
GREECE,2021-03-16,1435628,976155.0,459473.0,,Reported to WHO,Greece
ITALY,2021-03-16,7734372,5257677.0,2476274.0,,Reported to WHO,Italy
GERMANY,2021-03-16,10886389,7537100.0,3349289.0,,Reported to WHO,Germany
SWEDEN,2021-03-16,1385006,971032.0,413974.0,,Reported to WHO,Sweden
SWITZERLAND,2021-03-21,1248096,783650.0,,,Other sources,Switzerland
LITHUANIA,2021-03-16,375567,265710.0,109857.0,,Reported to WHO,Lithuania
FRANCE,2021-03-16,8629076,6199118.0,2429958.0,,Reported to WHO,France
CROATIA,2021-03-23,386919,308081.0,77546.0,,Reported to WHO,Croatia
FINLAND,2021-03-23,931779,843295.0,88484.0,,Reported to WHO,Finland
ICELAND,2021-03-16,53077,38018.0,15059.0,,Reported to WHO,Iceland
LATVIA,2021-03-16,102477,83539.0,18938.0,,Reported to WHO,Latvia
MONACO,2021-03-19,18081,9750.0,,,Other sources,Monaco
DENMARK,2021-03-16,953018,634638.0,318380.0,,Reported to WHO,Denmark
LUXEMBOURG,2021-03-23,75533,57407.0,18126.0,,Reported to WHO,Luxembourg
NETHERLANDS,2021-03-16,2097980,1492489.0,605491.0,,Reported to WHO,Netherlands
CYPRUS,2021-03-16,130636,93528.0,37108.0,,Reported to WHO,Cyprus
UKRAINE,2021-03-23,155587,155586.0,,,Other sources,Ukraine
NORTH MACEDONIA,2021-03-09,5231,4334.0,897.0,,Reported to WHO,North Macedonia
TURKEY,2021-03-24,13969867,8133043.0,,,Other sources,Turkey
ESTONIA,2021-03-16,223886,166878.0,57008.0,,Reported to WHO,Estonia
SPAIN,2021-03-16,6332491,4214108.0,2118383.0,,Reported to WHO,Spain
AZERBAIJAN,2021-03-16,156934,67962.0,88972.0,,Reported to WHO,Azerbaijan
THE UNITED KINGDOM,2021-03-23,31186362,28653523.0,,,Other sources,The United Kingdom
ISRAEL,2021-03-16,9737777,5180350.0,4557427.0,,Reported to WHO,Israel
SLOVAKIA,2021-03-23,785242,543983.0,241259.0,,Reported to WHO,Slovakia
NORWAY,2021-03-16,743405,487154.0,256251.0,,Reported to WHO,Norway
HUNGARY,2021-03-16,2073206,1587854.0,485352.0,,Reported to WHO,Hungary
IRELAND,2021-03-23,686240,500171.0,186069.0,,Reported to WHO,Ireland
ANDORRA,2021-03-19,9288,,,,Other sources,Andorra
KAZAKHSTAN,2021-03-16,103151,83839.0,19312.0,,Reported to WHO,Kazakhstan
REPUBLIC OF MOLDOVA,2021-03-16,20424,20424.0,0.0,,Reported to WHO,Republic Of Moldova
SERBIA,2021-03-24,2241510,1338010.0,,,Other sources,Serbia
BULGARIA,2021-03-23,406397,319734.0,86663.0,,Reported to WHO,Bulgaria
BELGIUM,2021-03-23,1460849,1010057.0,450792.0,,Reported to WHO,Belgium
PORTUGAL,2021-03-16,1414091,942825.0,471204.0,,Reported to WHO,Portugal
ALBANIA,2021-03-16,24421,20754.0,3667.0,,Reported to WHO,Albania
CZECHIA,2021-03-16,1345668,985883.0,359785.0,,Reported to WHO,Czechia
POLAND,2021-03-23,5117328,3319232.0,1798093.0,,Reported to WHO,Poland
AUSTRIA,2021-03-23,1320359,993537.0,326822.0,,Reported to WHO,Austria
RUSSIAN FEDERATION,2021-03-22,10600000,6300000.0,,,Other sources,Russian Federation
SLOVENIA,2021-03-16,289439,185682.0,103757.0,,Reported to WHO,Slovenia
SAN MARINO,2021-03-16,7910,7875.0,35.0,,Reported to WHO,San Marino
BELARUS,2021-03-16,68970,43594.0,25376.0,,Reported to WHO,Belarus
SLOVAKIA,2021-03-30,938290,681185.0,257105.0,,Reported to WHO,Slovakia
SERBIA,2021-03-31,2444395,1428888.0,,,Other sources,Serbia
DENMARK,2021-03-23,1060067,690027.0,370040.0,,Reported to WHO,Denmark
NORTH MACEDONIA,2021-03-23,9906,6544.0,3362.0,,Reported to WHO,North Macedonia
ESTONIA,2021-03-23,254775,193928.0,60847.0,,Reported to WHO,Estonia
GERMANY,2021-03-23,12818485,8947122.0,3871363.0,,Reported to WHO,Germany
LATVIA,2021-03-23,126227,104305.0,21922.0,,Reported to WHO,Latvia
ITALY,2021-03-23,9272731,6322192.0,2950118.0,,Reported to WHO,Italy
AUSTRIA,2021-03-30,1569200,1151847.0,417353.0,,Reported to WHO,Austria
GREECE,2021-03-23,1603916,1055691.0,548225.0,,Reported to WHO,Greece
CZECHIA,2021-03-23,1574977,1129568.0,445409.0,,Reported to WHO,Czechia
BULGARIA,2021-03-30,445549,355219.0,90330.0,,Reported to WHO,Bulgaria
TURKEY,2021-03-31,15834787,8994454.0,,,Other sources,Turkey
NETHERLANDS,2021-03-23,2378552,1688490.0,690062.0,,Reported to WHO,Netherlands
HUNGARY,2021-03-23,2603932,1913557.0,690375.0,,Reported to WHO,Hungary
MALTA,2021-03-23,157232,110217.0,47015.0,,Reported to WHO,Malta
ICELAND,2021-03-23,66083,45355.0,20728.0,,Reported to WHO,Iceland
LITHUANIA,2021-03-23,450253,314426.0,135827.0,,Reported to WHO,Lithuania
FRANCE,2021-03-23,10453534,7798091.0,2655443.0,,Reported to WHO,France
LUXEMBOURG,2021-03-30,89688,68617.0,21071.0,,Reported to WHO,Luxembourg
SPAIN,2021-03-23,7572588,4967826.0,2604762.0,,Reported to WHO,Spain
MONTENEGRO,2021-03-23,23313,20440.0,2873.0,,Reported to WHO,Montenegro
BELGIUM,2021-03-30,1772613,1260179.0,512434.0,,Reported to WHO,Belgium
SWEDEN,2021-03-23,1587632,1105368.0,482264.0,,Reported to WHO,Sweden
IRELAND,2021-03-30,814822,586705.0,228117.0,,Reported to WHO,Ireland
UKRAINE,2021-03-31,248736,248734.0,,,Other sources,Ukraine
SWITZERLAND,2021-03-28,1431525,898010.0,,,Other sources,Switzerland
ROMANIA,2021-03-23,2918832,1943250.0,975582.0,,Reported to WHO,Romania
BELARUS,2021-03-23,90107,63976.0,26131.0,,Reported to WHO,Belarus
POLAND,2021-03-30,6028901,4018486.0,2010412.0,,Reported to WHO,Poland
ISRAEL,2021-03-23,9929642,5223859.0,4705783.0,,Reported to WHO,Israel
REPUBLIC OF MOLDOVA,2021-03-23,36295,36295.0,0.0,,Reported to WHO,Republic Of Moldova
NORWAY,2021-03-23,859472,595267.0,264205.0,,Reported to WHO,Norway
GEORGIA,2021-03-23,4870,4870.0,0.0,,Reported to WHO,Georgia
RUSSIAN FEDERATION,2021-03-31,11373572,7004336.0,,,Other sources,Russian Federation
THE UNITED KINGDOM,2021-03-30,35014074,30905538.0,,,Other sources,The United Kingdom
KAZAKHSTAN,2021-03-23,257274,206540.0,50734.0,,Reported to WHO,Kazakhstan
CROATIA,2021-03-30,451931,364499.0,86036.0,,Reported to WHO,Croatia
SLOVENIA,2021-03-23,342421,230354.0,112067.0,,Reported to WHO,Slovenia
PORTUGAL,2021-03-23,1691535,1196971.0,494521.0,,Reported to WHO,Portugal
CYPRUS,2021-03-23,146937,105887.0,41050.0,,Reported to WHO,Cyprus
AZERBAIJAN,2021-03-23,254862,81494.0,173368.0,,Reported to WHO,Azerbaijan
POLAND,2021-04-06,6901842,4822719.0,2079118.0,,Reported to WHO,Poland
SWEDEN,2021-04-04,1811081,1271076.0,540005.0,,Reported to WHO,Sweden
AUSTRIA,2021-04-06,1814018,1306270.0,507748.0,,Reported to WHO,Austria
NORWAY,2021-04-04,959176,681921.0,277255.0,,Reported to WHO,Norway
UKRAINE,2021-04-07,334578,334576.0,,,Other sources,Ukraine
ISRAEL,2021-04-04,10096213,5267733.0,4828480.0,,Reported to WHO,Israel
ROMANIA,2021-04-04,3312184,2113867.0,1198317.0,,Reported to WHO,Romania
ICELAND,2021-04-04,74535,50197.0,24338.0,,Reported to WHO,Iceland
KYRGYZSTAN,2021-04-07,849,849.0,,,Other sources,Kyrgyzstan
IRELAND,2021-04-06,934662,662604.0,272058.0,,Reported to WHO,Ireland
UZBEKISTAN,2021-04-06,35000,35000.0,,,Other sources,Uzbekistan
MALTA,2021-04-04,187089,132317.0,54772.0,,Reported to WHO,Malta
PORTUGAL,2021-04-04,1913460,1334338.0,579069.0,,Reported to WHO,Portugal
BELGIUM,2021-04-06,2098927,1524971.0,573956.0,,Reported to WHO,Belgium
THE UNITED KINGDOM,2021-04-06,37391103,31707594.0,,,Other sources,The United Kingdom
ITALY,2021-04-04,11036332,7600748.0,3435292.0,,Reported to WHO,Italy
ESTONIA,2021-04-04,294402,225635.0,68767.0,,Reported to WHO,Estonia
CZECHIA,2021-04-04,1811584,1234364.0,577220.0,,Reported to WHO,Czechia
ARMENIA,2021-03-31,565,565.0,,,Other sources,Armenia
SERBIA,2021-04-07,2687311,1552535.0,,,Other sources,Serbia
CYPRUS,2021-04-04,163321,115857.0,47464.0,,Reported to WHO,Cyprus
TURKEY,2021-04-07,17704888,10359390.0,,,Other sources,Turkey
ALBANIA,2021-03-21,31476,24405.0,7071.0,,Reported to WHO,Albania
CROATIA,2021-04-06,525328,425135.0,98545.0,,Reported to WHO,Croatia
GREECE,2021-04-04,1828534,1170120.0,658414.0,,Reported to WHO,Greece
RUSSIAN FEDERATION,2021-04-07,13047800,7908918.0,,,Other sources,Russian Federation
SLOVENIA,2021-04-04,403146,284469.0,118677.0,,Reported to WHO,Slovenia
KAZAKHSTAN,2021-04-04,496343,380809.0,115534.0,,Reported to WHO,Kazakhstan
GEORGIA,2021-03-28,4300,4300.0,0.0,,Reported to WHO,Georgia
SPAIN,2021-04-04,8774354,5918315.0,2856039.0,,Reported to WHO,Spain
SLOVAKIA,2021-04-06,1022654,758741.0,263913.0,,Reported to WHO,Slovakia
DENMARK,2021-04-04,1186465,775909.0,410556.0,,Reported to WHO,Denmark
HUNGARY,2021-04-04,3268423,2354760.0,913663.0,,Reported to WHO,Hungary
FINLAND,2021-04-06,1064855,975200.0,89655.0,,Reported to WHO,Finland
LUXEMBOURG,2021-04-06,108939,83652.0,25287.0,,Reported to WHO,Luxembourg
NETHERLANDS,2021-04-04,2863986,0.0,0.0,,Reported to WHO,Netherlands
SAN MARINO,2021-04-04,13332,8689.0,4643.0,,Reported to WHO,San Marino
GERMANY,2021-04-04,14862133,10395700.0,4466433.0,,Reported to WHO,Germany
NORTH MACEDONIA,2021-04-04,13009,8512.0,4497.0,,Reported to WHO,North Macedonia
LITHUANIA,2021-04-04,510847,349869.0,160978.0,,Reported to WHO,Lithuania
AZERBAIJAN,2021-04-04,178596,63279.0,115317.0,,Reported to WHO,Azerbaijan
LATVIA,2021-04-04,146261,121388.0,24873.0,,Reported to WHO,Latvia
BELARUS,2021-04-04,120355,91488.0,28867.0,,Reported to WHO,Belarus
SWITZERLAND,2021-04-04,1598335,996308.0,,,Other sources,Switzerland
ANDORRA,2021-04-04,12440,,,,Other sources,Andorra
MONTENEGRO,2021-04-04,34715,29980.0,4735.0,,Reported to WHO,Montenegro
MONACO,2021-04-02,20510,11715.0,,,Other sources,Monaco
BULGARIA,2021-04-06,519637,414789.0,104848.0,,Reported to WHO,Bulgaria
REPUBLIC OF MOLDOVA,2021-04-04,47344,47344.0,0.0,,Reported to WHO,Republic Of Moldova
FRANCE,2021-04-04,12405899,9296131.0,3109768.0,,Reported to WHO,France
UZBEKISTAN,2021-04-11,148642,148642.0,,,Other sources,Uzbekistan
THE UNITED KINGDOM,2021-04-11,39846781,32190576.0,,,Other sources,The United Kingdom
GEORGIA,2021-04-04,10754,10754.0,0.0,,Reported to WHO,Georgia
BOSNIA AND HERZEGOVINA,2021-04-09,15000,,,,Other sources,Bosnia And Herzegovina
KYRGYZSTAN,2021-04-12,2100,2100.0,,,Other sources,Kyrgyzstan
ANDORRA,2021-04-11,17091,,,,Other sources,Andorra
TURKEY,2021-04-12,18494796,10907432.0,,,Other sources,Turkey
SWITZERLAND,2021-04-07,1690425,1048063.0,,,Other sources,Switzerland
SERBIA,2021-04-10,2882854,1716843.0,,,Other sources,Serbia
UKRAINE,2021-04-12,378269,378264.0,,,Other sources,Ukraine
RUSSIAN FEDERATION,2021-04-12,14108341,8692848.0,,,Other sources,Russian Federation
CROATIA,2021-04-11,590022,476911.0,111355.0,,Reported to WHO,Croatia
FINLAND,2021-04-11,1231587,1136344.0,95243.0,,Reported to WHO,Finland
AUSTRIA,2021-04-11,2125016,1496185.0,628831.0,,Reported to WHO,Austria
LUXEMBOURG,2021-04-11,130279,96054.0,34225.0,,Reported to WHO,Luxembourg
