"ISO_3_CODE","COUNTRYNAME","WHO_REGION","UNICEF_REGION","COVAX_STATUS","DEVELOPMENT_STATUS","WBINCOME_SHORT_STATUS","WBINCOME_LONG_STATUS","WHOMEMBER","WHO_LEGAL_STATUS_TITLE","DATE","YEAR","MONTH","MONTH_DESCRIPTION","DATA_SOURCE","DATA_SOURCE_DESCRIPTION","TARGET_GROUP","TARGET_GROUP_DESCRIPTION","NUMBER_TARGET","N_VACC_DOSE1","N_VACC_LAST_DOSE","N_VACC_BOOSTER_DOSE","N_VACC_UNKNOWN","PARTIALLY_VACCINATED","NOT_VACCINATED","COMMENTS"
"AFG","Afghanistan","EMR","ROSA","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","EMR","COVID-19 vaccination data coming from the daily updated EMR worksheet","CO_MORBIDITY","People with co- morbidity",NA,76869,341781,NA,NA,-264912,NA,"Data reported by AFG as at 3 november 2022"
"AFG","Afghanistan","EMR","ROSA","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","EMR","COVID-19 vaccination data coming from the daily updated EMR worksheet","HW","Health  and care workers",NA,94376,89758,NA,NA,4618,NA,"Data reported by AFG as at 3 november 2022"
"AFG","Afghanistan","EMR","ROSA","AMC","Least developed","Low income","Low income","Member","Member State","2022-11",2022,11,"11-November","EMR","COVID-19 vaccination data coming from the daily updated EMR worksheet","OLDER_60","Older people (aged 60 years or over)",NA,264363,1476767,NA,NA,-1212404,NA,"Data reported by AFG as at 3 november 2022"
"AGO","Angola","AFR","ESARO","AMC","Least developed","Middle income","Lower middle income","Member","Member State","2022-01",2022,1,"01-January","AFR","COVID-19 vaccination data coming from the daily updated AFR worksheet","CO_MORBIDITY","People with co- morbidity",300000,NA,NA,NA,NA,NA,NA,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2021-12",2021,12,"12-December","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","RES_LONG_TERM","Residents of long-term care facilities (LTCFs)",50,47,46,NA,NA,1,3,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-03",2022,3,"03-March","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","OLDER_60","Older people (aged 60 years or over)",NA,1401,1369,NA,NA,32,NA,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","CO_MORBIDITY_ADULTS","Adults with co-morbidity",NA,NA,NA,NA,0,NA,NA,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","DISADVANTAGED","Disadvantaged sociodemographic subpopulations at higher risk of severe COVID-19",NA,NA,NA,NA,0,NA,NA,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","IMMUNOCOMPROMISED","Immunocompromised persons",NA,NA,NA,NA,0,NA,NA,NA
"AIA","Anguilla","AMR","LACRO",NA,"Developing",NA,NA,"Reporting entity","Territory or Area","2022-04",2022,4,"04-April","EJRF","COVID-19 vaccination uptake data coming from eJRF COVID module","TEACHERS","Teachers and other essential  workers",NA,NA,NA,NA,0,NA,NA,NA
