"a_iso","prod_inuse","intro_date","cov_total_fv_per100_whodb"
"AFG",11,2021-02-22,27.018
"ALB",5,2021-01-13,44.561
"DZA",4,2021-01-30,14.78
"ASM",3,2020-12-21,75.046
"AND",3,2021-01-20,70.211
"AGO",1,2021-03-10,23.776
"AIA",2,2021-02-05,69.097
"ATG",6,2021-03-01,63.703
"ARG",7,2020-12-29,83.725
"ARM",8,2021-06-16,33.268
"ABW",2,2021-02-17,78.504
"AUS",5,2021-02-21,84.91
"AUT",10,2020-12-30,74.993
"AZE",5,2021-01-20,48.093
"BHS",4,2021-03-14,42.039
"BHR",11,2020-11-04,72.084
"BGD",8,2021-01-27,75.66
"BRB",5,2021-01-08,53.904
"BLR",4,2021-02-03,67.685
"BEL",4,2020-12-30,79.45
"BLZ",5,2021-03-01,55.532
"BEN",5,2021-03-29,22.212
"BMU",2,2021-01-11,76.529
"BTN",5,2021-03-27,87.826
"BOL",7,2021-01-30,53.342
"XAA",NA,NA,76.113
"BES",2,NA,64.401
"BIH",4,NA,25.789
"BWA",6,2021-03-26,60.065
"BRA",5,2021-01-17,78.932
"VGB",2,2021-02-11,60.393
"BRN",5,2021-04-03,101.899
"BGR",4,2020-12-30,29.86
"BFA",3,2021-06-02,12.718
"BDI",1,2021-10-18,0.2
"CPV",4,2021-03-18,55.526
"KHM",7,2021-02-10,87.222
"CMR",4,2021-04-12,4.845
"CAN",5,2020-12-14,82.609
"CYM",1,2021-01-15,92.056
"CAF",2,2021-03-19,33.477
"TCD",1,2021-06-04,22.05
"CHL",5,2020-12-21,92.53
"CHN",8,2020-07-22,86.818
"COL",5,2021-02-17,72.333
"COM",3,2021-04-10,45.662
"COG",4,2021-03-23,11.854
"COK",1,2021-05-17,83.557
"CRI",3,2020-12-24,83.216
"CIV",5,2021-03-01,34.937
"HRV",6,2020-12-23,55.3
"CUB",3,NA,88.281
"CUW",3,2021-02-24,60.909
"CYP",5,2020-12-23,73.841
"CZE",7,2020-12-23,64.375
"COD",1,2021-04-19,6.226
"DNK",5,2020-12-16,82.435
"DJI",11,2021-03-15,26.359
"DMA",5,2021-02-12,42.587
"DOM",3,2021-02-16,55.875
"ECU",4,2021-01-20,80.341
"EGY",10,2021-01-24,39.072
"SLV",6,2021-02-17,66.752
"GNQ",2,2021-02-12,15.255
"ERI",NA,NA,0
"EST",8,2020-12-23,62.841
"SWZ",3,2021-03-19,42.293
"ETH",4,2021-03-13,31.93
"FLK",1,NA,85.444
"FRO",2,NA,83.69
"FJI",3,2021-03-07,71.329
"FIN",5,2020-12-23,78.899
"FRA",6,2020-12-30,77.477
"GUF",2,2021-01-13,30.046
"PYF",2,2021-01-18,66.227
"GAB",3,2021-03-23,11.561
"GMB",2,2021-03-10,18.812
"GEO",4,2021-03-17,29.603
"DEU",9,2020-12-23,78.04
"GHA",2,2021-03-02,28.807
"GIB",2,NA,122.944
"GRC",7,2020-12-23,72.195
"GRL",1,NA,67.819
"GRD",5,2021-02-15,34.637
"GLP",7,2021-01-08,36.219
"GUM",3,2021-01-04,83.551
"GTM",5,2021-02-25,39.065
"GGY",3,NA,NA
"GIN",6,2021-03-05,24.19
"GNB",2,2021-04-02,20.54
"GUY",7,2021-02-11,48.24
"HTI",2,NA,2.076
"HND",6,2021-02-22,57.597
"HUN",8,2020-12-23,62.948
"ISL",5,2020-12-30,81.761
"IND",8,2021-01-16,68.878
"IDN",7,2021-01-13,62.932
"IRN",12,2021-02-09,69.639
"IRQ",10,2021-03-02,19.676
"IRL",5,2020-12-30,80.678
"IMN",3,NA,78.919
"ISR",3,2020-12-16,73.776
"ITA",8,2020-12-23,82.947
"JAM",5,2021-03-10,24.833
"JPN",4,2021-02-17,81.393
"JEY",3,NA,75.799
"JOR",10,2021-01-13,44.676
"KAZ",5,2021-04-07,69.306
"KEN",5,2021-03-05,19.79
"KIR",2,2021-05-26,61.857
"XKX",2,2021-03-31,45.92
"KWT",10,2020-12-28,78.24
"KGZ",6,2021-03-31,20.043
"LAO",8,2020-11-25,72.758
"LVA",5,2020-12-30,66.696
"LBN",10,2021-02-14,35.292
"LSO",3,2021-03-10,42.059
"LBR",1,2021-04-01,71.114
"LBY",10,2021-04-11,17.899
"LIE",3,2021-01-06,67.995
"LTU",5,2020-12-23,68.207
"LUX",8,2020-12-30,73.877
