iso_code,country_name_official,country_name_friendly,intermediate_region_name,sub_region_name,region_name,affiliation,wb_income_group,wb_income_group_name,wb_income_group_sort,is_amc92,is_covax_official,is_covax_received,is_ida,is_sfp,is_bmgf_priority,owid_vx_rollout_date,who_vx_rollout_date,amc92_vx_rollout_date,min_vx_rollout_date,min_vx_rollout_date_source,first_covax_arrival_date,first_vx_shipment_received_date,date_accessed
TCA,Turks and Caicos Islands,Turks & Caicos Islands,Caribbean,Latin America and the Caribbean,Americas,null,H,High income,1,0,0,0,0,0,0,2021-03-29,2021-01-11,null,2021-01-11,WHO,null,null,2022-03-30
UKR,Ukraine,Ukraine,null,Eastern Europe,Europe,null,LM,Lower-middle income,3,1,1,0,0,0,0,2021-02-24,2021-02-24,2021-02-24,2021-02-24,OWID,null,2021-02-23 00:00:00,2022-03-30
ARE,United Arab Emirates,United Arab Emirates,null,Western Asia,Asia,null,H,High income,1,0,1,0,0,0,0,2021-01-05,2020-12-14,null,2020-12-14,WHO,null,null,2022-03-30
TON,Tonga,Tonga,null,Polynesia,Oceania,null,UM,Upper-middle income,2,1,1,0,1,0,0,2021-04-20,2021-04-14,2021-04-14,2021-04-14,WHO,null,2021-03-31 00:00:00,2022-03-30
TJK,Tajikistan,Tajikistan,null,Central Asia,Asia,null,LM,Lower-middle income,3,1,1,0,0,0,0,2021-05-07,2021-03-24,2021-04-07,2021-04-07,AMC92,null,2021-03-08 00:00:00,2022-03-30
UGA,Uganda,Uganda,Eastern Africa,Sub-Saharan Africa,Africa,African Union,L,Low income,4,1,1,0,0,0,0,2021-03-12,2021-03-10,2021-03-10,2021-03-10,WHO,null,2021-03-05 00:00:00,2022-03-30
TKL,Tokelau,Tokelau,null,Polynesia,Oceania,null,UNK,Unknown,0,0,0,0,0,0,0,2021-08-02,2021-07-20,null,2021-07-20,WHO,null,null,2022-03-30
TKM,Turkmenistan,Turkmenistan,null,Central Asia,Asia,null,UM,Upper-middle income,2,0,0,0,0,0,0,2021-02-28,2021-02-24,null,2021-02-24,WHO,null,null,2022-03-30
THA,Thailand,Thailand,null,South-eastern Asia,Asia,null,UM,Upper-middle income,2,0,0,0,0,0,0,2021-03-01,2021-02-28,null,2021-02-28,WHO,null,null,2022-03-30
TUV,Tuvalu,Tuvalu,null,Polynesia,Oceania,null,UM,Upper-middle income,2,1,1,0,1,0,0,2021-04-27,2021-04-13,2021-04-12,2021-04-12,AMC92,null,2021-04-08 00:00:00,2022-03-30
TLS,Timor-Leste,Timor-Leste,null,South-eastern Asia,Asia,null,LM,Lower-middle income,3,1,1,0,0,0,0,2021-04-14,2021-04-07,2021-04-07,2021-04-07,WHO,null,2021-04-05 00:00:00,2022-03-30
TGO,Togo,Togo,Western Africa,Sub-Saharan Africa,Africa,African Union,L,Low income,4,1,1,0,0,0,0,2021-03-24,2021-03-10,2021-03-10,2021-03-10,WHO,null,2021-03-07 00:00:00,2022-03-30
TUR,Turkey,Turkey,null,Western Asia,Asia,null,UM,Upper-middle income,2,0,0,0,0,0,0,2021-01-14,null,null,2021-01-14,OWID,null,null,2022-03-30
TUN,Tunisia,Tunisia,null,Northern Africa,Africa,African Union,LM,Lower-middle income,3,1,1,0,0,0,0,2021-03-13,2021-03-13,2021-03-13,2021-03-13,OWID,null,2021-03-09 00:00:00,2022-03-30
TTO,Trinidad and Tobago,Trinidad & Tobago,Caribbean,Latin America and the Caribbean,Americas,null,H,High income,1,0,0,0,0,0,0,2021-02-22,2021-02-17,null,2021-02-17,WHO,null,null,2022-03-30
MKD,The former Yugoslav Republic of Macedonia,North Macedonia,null,Southern Europe,Europe,null,UM,Upper-middle income,2,0,1,0,0,0,0,2021-03-16,2021-02-17,null,2021-02-17,WHO,null,null,2022-03-30
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Middle Africa,Sub-Saharan Africa,Africa,African Union,L,Low income,4,1,1,0,0,0,1,2021-04-25,2021-04-19,2021-03-17,2021-03-17,AMC92,null,2021-03-02 00:00:00,2022-03-30
ETH,Ethiopia,Ethiopia,Eastern Africa,Sub-Saharan Africa,Africa,African Union,L,Low income,4,1,1,0,0,0,1,2021-04-08,2021-03-13,2021-03-13,2021-03-13,WHO,null,2021-03-07 00:00:00,2022-03-30
