iso_code,date,cumulative_doses_received_uti,monthly_doses_recieved_uti,date_accessed
AFG,2021-03-01,968000.0,968000.0,2022-07-29
AFG,2021-07-01,35056000.0,34088000.0,2022-07-29
AFG,2021-08-01,5248800.0,-29807200.0,2022-07-29
AFG,2021-09-01,5248800.0,0.0,2022-07-29
AFG,2021-10-01,5248800.0,0.0,2022-07-29
AFG,2021-11-01,5400000.0,151200.0,2022-07-29
AFG,2021-12-01,8404000.0,3004000.0,2022-07-29
AFG,2022-04-01,11468850.0,3064850.0,2022-07-29
AFG,2022-05-01,11468850.0,0.0,2022-07-29
AGO,2021-05-01,1509620.0,1509620.0,2022-07-29
AGO,2021-06-01,1610930.0,101310.0,2022-07-29
AGO,2021-07-01,1835695.0,224765.0,2022-07-29
AGO,2021-08-01,3597820.0,1762125.0,2022-07-29
AGO,2021-09-01,3597820.0,0.0,2022-07-29
AGO,2021-10-01,5947510.0,2349690.0,2022-07-29
AGO,2021-11-01,19978762.0,14031252.0,2022-07-29
AGO,2021-12-01,32782592.0,12803830.0,2022-07-29
AGO,2022-01-01,36822167.0,4039575.0,2022-07-29
AIA,2021-06-01,41000.0,41000.0,2022-07-29
AIA,2021-07-01,41000.0,0.0,2022-07-29
AIA,2021-08-01,41000.0,0.0,2022-07-29
AIA,2021-09-01,41000.0,0.0,2022-07-29
AIA,2021-10-01,41000.0,0.0,2022-07-29
AIA,2021-11-01,48020.0,7020.0,2022-07-29
AIA,2021-12-01,48020.0,0.0,2022-07-29
AIA,2022-01-01,48020.0,0.0,2022-07-29
AIA,2022-02-01,54260.0,6240.0,2022-07-29
AIA,2022-03-01,54260.0,0.0,2022-07-29
AIA,2022-04-01,54260.0,0.0,2022-07-29
AIA,2022-05-01,54260.0,0.0,2022-07-29
AND,2021-03-01,-6442450944.0,-6442450944.0,2022-07-29
AND,2021-04-01,-6442450944.0,0.0,2022-07-29
AND,2021-05-01,92100.0,6442543044.0,2022-07-29
AND,2021-06-01,148860.0,56760.0,2022-07-29
AND,2021-07-01,202860.0,54000.0,2022-07-29
AND,2021-08-01,202860.0,0.0,2022-07-29
AND,2021-09-01,202860.0,0.0,2022-07-29
AND,2021-10-01,207540.0,4680.0,2022-07-29
AND,2021-11-01,249660.0,42120.0,2022-07-29
AND,2021-12-01,269660.0,20000.0,2022-07-29
AND,2022-02-01,269660.0,0.0,2022-07-29
AND,2022-03-01,269660.0,0.0,2022-07-29
AND,2022-04-01,269660.0,0.0,2022-07-29
AND,2022-06-01,269660.0,0.0,2022-07-29
ARE,2021-09-01,-15032385536.0,-15032385536.0,2022-07-29
ARE,2022-03-01,-15032385536.0,0.0,2022-07-29
ARG,2021-03-01,-10737418240.0,-10737418240.0,2022-07-29
ARG,2021-04-01,-10737418240.0,0.0,2022-07-29
ARG,2021-05-01,-10737418240.0,0.0,2022-07-29
ARG,2021-06-01,-10737418240.0,0.0,2022-07-29
ARG,2021-07-01,76667780.0,10814086020.0,2022-07-29
ARG,2021-08-01,104446830.0,27779050.0,2022-07-29
ARG,2021-10-01,175385970.0,70939140.0,2022-07-29
ARG,2021-11-01,197980860.0,22594890.0,2022-07-29
ARG,2021-12-01,205024740.0,7043880.0,2022-07-29
ARG,2022-01-01,214450260.0,9425520.0,2022-07-29
ARG,2022-02-01,224563160.0,10112900.0,2022-07-29
ARG,2022-03-01,236302480.0,11739320.0,2022-07-29
ARG,2022-05-01,244745880.0,8443400.0,2022-07-29
ATG,2021-05-01,10000.0,10000.0,2022-07-29
ATG,2021-07-01,10000.0,0.0,2022-07-29
ATG,2021-08-01,140000.0,130000.0,2022-07-29
ATG,2021-09-01,140000.0,0.0,2022-07-29
ATG,2021-12-01,140000.0,0.0,2022-07-29
AUS,2021-04-01,-10737418240.0,-10737418240.0,2022-07-29
AUS,2021-05-01,-10737418240.0,0.0,2022-07-29
AUS,2021-06-01,-10737418240.0,0.0,2022-07-29
AUS,2021-07-01,-4233454856.0,6503963384.0,2022-07-29
AUS,2021-08-01,-10737418240.0,-6503963384.0,2022-07-29
AUS,2021-09-01,-10737418240.0,0.0,2022-07-29
AUS,2021-11-01,-10737418240.0,0.0,2022-07-29
AUS,2021-12-01,-10737418240.0,0.0,2022-07-29
AUS,2022-01-01,-10737418240.0,0.0,2022-07-29
AUS,2022-02-01,-10737418240.0,0.0,2022-07-29
AUS,2022-03-01,-10737418240.0,0.0,2022-07-29
AUS,2022-04-01,-10737418240.0,0.0,2022-07-29
AUS,2022-05-01,-10737418240.0,0.0,2022-07-29
AUT,2021-02-01,-12884901888.0,-12884901888.0,2022-07-29
AUT,2021-03-01,-12884901888.0,0.0,2022-07-29
AUT,2021-04-01,-12884901888.0,0.0,2022-07-29
AUT,2021-05-01,-12884901888.0,0.0,2022-07-29
AUT,2021-06-01,-2129345462.0,10755556426.0,2022-07-29
AUT,2021-07-01,-2129345462.0,0.0,2022-07-29
AUT,2021-08-01,-2125707242.0,3638220.0,2022-07-29
AUT,2021-09-01,31641706.0,2157348948.0,2022-07-29
AUT,2021-10-01,39278720.0,7637014.0,2022-07-29
AUT,2021-11-01,41283066.0,2004346.0,2022-07-29
AZE,2021-03-01,-4294967296.0,-4294967296.0,2022-07-29
AZE,2021-04-01,-4294967296.0,0.0,2022-07-29
AZE,2021-05-01,1632040.0,4296599336.0,2022-07-29
AZE,2021-06-01,9019724.0,7387684.0,2022-07-29
AZE,2021-07-01,12634662.0,3614938.0,2022-07-29
AZE,2021-08-01,12634662.0,0.0,2022-07-29
AZE,2021-09-01,12634662.0,0.0,2022-07-29
AZE,2021-10-01,12634662.0,0.0,2022-07-29
AZE,2021-11-01,12634662.0,0.0,2022-07-29
AZE,2021-12-01,12634662.0,0.0,2022-07-29
AZE,2022-01-01,34679214.0,22044552.0,2022-07-29
AZE,2022-02-01,35757180.0,1077966.0,2022-07-29
